storeNo,name,storeNoName,latitude,longitude,county,physicalStore,municipality,countryRegion,postalCity,postalCode
361,EP BLOMSTERDALEN - utgått,361 EP BLOMSTERDALEN - utgått,"","","",true,"","","",""
362,EP EVJE,362 EP EVJE,58.58013,7.78815,Agder,true,EVJE OG HORNNES,Sørlandet,EVJE,4735
363,EP HOV,363 EP HOV,60.69716,10.35335,Innlandet,true,SØNDRE LAND,Østlandet,HOV,2860
364,EP INDRE ARNA,364 EP INDRE ARNA,60.43358,5.46294,Vestland,true,BERGEN,Vestlandet,INDRE ARNA,5260
385,EP KONNERUD,385 EP KONNERUD,59.71786,10.1489,Buskerud,true,DRAMMEN,Østlandet,DRAMMEN,3032
428,EP RØROS,428 EP RØROS,62.57427,11.37851,Trøndelag,true,RØROS,Trøndelag,RØROS,7374
486,EP SANDANE,486 EP SANDANE,61.776,6.2132,Vestland,true,GLOPPEN,Vestlandet,SANDANE,6823
368,EP SUNNDALSØRA,368 EP SUNNDALSØRA,62.67364,8.56382,Møre og Romsdal,true,SUNNDAL,Vestlandet,SUNNDALSØRA,6600
351,EP SAUDA,351 EP SAUDA,59.65072,6.35414,Rogaland,true,SAUDA,Vestlandet,SAUDA,4200
485,EP STRYN,485 EP STRYN,61.90259,6.71028,Vestland,true,STRYN,Vestlandet,STRYN,6783
575,EP GANDDAL,575 EP GANDDAL,58.82024,5.7123,Rogaland,true,SANDNES,Vestlandet,SANDNES,4323
277,EP HITRA,277 EP HITRA,63.60638,8.96961,Trøndelag,true,HITRA,Trøndelag,HITRA,7240
376,EP FLÅ,376 EP FLÅ,60.43021,9.46198,Buskerud,true,FLÅ,Østlandet,FLÅ,3539
377,EP OPPEGÅRD - utgått,377 EP OPPEGÅRD - utgått,"","","",true,"","","",""
004,IKKE BRUK,004 IKKE BRUK,"","","",true,"","","",""
335,EP MOLDE,335 EP MOLDE,62.73893,7.18001,Møre og Romsdal,true,MOLDE,Vestlandet,MOLDE,6415
379,EP NORDKJOSBOTN - utgått,379 EP NORDKJOSBOTN - utgått,"","","",true,"","","",""
380,EP FETSUND - utgått,380 EP FETSUND - utgått,"","","",true,"","","",""
381,EP RJUKAN - utgått,381 EP RJUKAN - utgått,"","","",true,"","","",""
382,EP JEVNAKER - utgått,382 EP JEVNAKER - utgått,"","","",true,"","","",""
389,EP SON - utgått,389 EP SON - utgått,59.52611,10.6893,Akershus,true,VESTBY,Østlandet,SON,1555
369,EP JUVIK,369 EP JUVIK,60.42702,5.19261,Vestland,true,ASKØY,Vestlandet,KLEPPESTØ,5300
378,EP SKOTTERUD,378 EP SKOTTERUD,59.98619,12.12206,Innlandet,true,EIDSKOG,Østlandet,SKOTTERUD,2230
490,EP VINSTRA,490 EP VINSTRA,61.59332,9.72765,Innlandet,true,NORD-FRON,Østlandet,VINSTRA,2640
061,EP BRØNNØYSUND,061 EP BRØNNØYSUND,65.49199,12.2413,Nordland,true,BRØNNØY,Nord-Norge,BRØNNØYSUND,8907
398,EP SKI,398 EP SKI,59.71336,10.83515,Akershus,true,NORDRE FOLLO,Østlandet,SKI,1400
399,EP KRÅKERØY,399 EP KRÅKERØY,59.21209,10.92863,Østfold,true,FREDRIKSTAD,Østlandet,KRÅKERØY,1671
359,EP JESSHEIM,359 EP JESSHEIM,60.14256,11.18056,Akershus,true,ULLENSAKER,Østlandet,JESSHEIM,2050
23550,EP Island,23550 EP Island,"","","",false,"","","",""
391,EP SPYDEBERG,391 EP SPYDEBERG,59.61917,11.07851,Østfold,true,INDRE ØSTFOLD,Østlandet,SPYDEBERG,1820
408,EP LØTEN,408 EP LØTEN,60.81983,11.34207,Innlandet,true,LØTEN,Østlandet,LØTEN,2340
370,EP SANDSLI,370 EP SANDSLI,60.30552,5.28194,Vestland,true,BERGEN,Vestlandet,SANDSLI,5253
420,EP FORUS,420 EP FORUS,58.89606,5.70186,Rogaland,true,STAVANGER,Vestlandet,STAVANGER,4033
062,EP HAMMERFEST,062 EP HAMMERFEST,70.67857,23.66983,Finnmark,true,HAMMERFEST,Nord-Norge,HAMMERFEST,9600
421,EP LØRENSKOG,421 EP LØRENSKOG,59.92723,10.95752,Akershus,true,LØRENSKOG,Østlandet,LØRENSKOG,1470
422,EP VINTERBRO,422 EP VINTERBRO,59.73886,10.76585,Akershus,true,ÅS,Østlandet,VINTERBRO,1407
409,EP SKREPPESTAD,409 EP SKREPPESTAD,59.04593,10.07235,Vestfold,true,LARVIK,Østlandet,LARVIK,3261
411,EP SAND,411 EP SAND,60.39259,11.54103,Innlandet,true,NORD-ODAL,Østlandet,SAGSTUA,2120
424,EP LONEVÅG,424 EP LONEVÅG,60.52619,5.49368,Vestland,true,OSTERØY,Vestlandet,LONEVÅG,5282
423,EP KIRKENÆR,423 EP KIRKENÆR,60.45675,12.05717,Innlandet,true,GRUE,Østlandet,KIRKENÆR,2260
009,EP MANDAL KUPPHUSET,009 EP MANDAL KUPPHUSET,58.02436,7.46635,Agder,true,LINDESNES,Sørlandet,MANDAL,4515
403,EP SKIPTVET,403 EP SKIPTVET,59.47257,11.16342,Østfold,true,SKIPTVET,Østlandet,SKIPTVET,1816
458,EP FURUSET,458 EP FURUSET,59.94216,10.89774,Oslo,true,OSLO,Østlandet,OSLO,1051
447,EP NEDENES,447 EP NEDENES,58.41842,8.70238,Agder,true,ARENDAL,Sørlandet,NEDENES,4823
063,EP MADLA,063 EP MADLA,58.95202,5.65727,Rogaland,true,STAVANGER,Vestlandet,HAFRSFJORD,4042
457,EP MORTENSRUD,457 EP MORTENSRUD,59.84883,10.83064,Oslo,true,OSLO,Østlandet,OSLO,1281
460,EP KIRKEBY,460 EP KIRKEBY,60.78383,10.69194,Innlandet,true,GJØVIK,Østlandet,GJØVIK,2815
459,EP TROMSDALEN,459 EP TROMSDALEN,69.63996,18.97086,Troms,true,TROMSØ,Nord-Norge,TROMSDALEN,9020
433,EP STOKMARKNES,433 EP STOKMARKNES,68.55797,14.94031,Nordland,true,HADSEL,Nord-Norge,STOKMARKNES,8450
461,EP OTTESTAD,461 EP OTTESTAD,60.77028,11.13187,Innlandet,true,STANGE,Østlandet,OTTESTAD,2312
462,EP STRØMSØ,462 EP STRØMSØ,59.73447,10.20669,Buskerud,true,DRAMMEN,Østlandet,DRAMMEN,3044
464,EP GISKE,464 EP GISKE,62.53268,6.12326,Møre og Romsdal,true,GISKE,Vestlandet,VALDERØYA,6050
407,EP ENEBAKK,407 EP ENEBAKK,59.72398,11.0503,Akershus,true,ENEBAKK,Østlandet,YTRE ENEBAKK,1914
410,EP PINDSLE,410 EP PINDSLE,59.14162,10.18001,Vestfold,true,SANDEFJORD,Østlandet,SANDEFJORD,3221
463,EP BEGBY,463 EP BEGBY,59.2083,10.99089,Østfold,true,FREDRIKSTAD,Østlandet,GAMLE FREDRIKSTAD,1639
418,EP STRUSSHAMN,418 EP STRUSSHAMN,60.40662,5.19456,Vestland,true,ASKØY,Vestlandet,STRUSSHAMN,5302
469,EP BODØ,469 EP BODØ,67.27698,14.4238,Nordland,true,BODØ,Nord-Norge,BODØ,8008
472,EP GRORUD,472 EP GRORUD,59.95948,10.88261,Oslo,true,OSLO,Østlandet,OSLO,0963
475,EP ÅGOTNES,475 EP ÅGOTNES,60.40344,5.00186,Vestland,true,ØYGARDEN,Vestlandet,ÅGOTNES,5363
476,EP STRANDA,476 EP STRANDA,62.30763,6.94808,Møre og Romsdal,true,STRANDA,Vestlandet,STRANDA,6200
477,EP JEVNAKER,477 EP JEVNAKER,60.22947,10.35494,Akershus,true,JEVNAKER,Østlandet,JEVNAKER,3520
473,EP ANDENES,473 EP ANDENES,69.31011,16.09885,Nordland,true,ANDØY,Nord-Norge,ANDENES,8480
425,EP RÅDE,425 EP RÅDE,59.35817,10.83582,Østfold,true,RÅDE,Østlandet,RÅDE,1640
404,EP GEILO,404 EP GEILO,60.53359,8.20665,Buskerud,true,HOL,Østlandet,GEILO,3580
481,EP STRØMMEN,481 EP STRØMMEN,59.94788,11.00712,Akershus,true,LILLESTRØM,Østlandet,STRØMMEN,2010
478,EP STOVNER,478 EP STOVNER,59.96143,10.92658,Oslo,true,OSLO,Østlandet,OSLO,0985
065,EP KRISTIANSUND - utgått,065 EP KRISTIANSUND - utgått,"","","",true,"","","",""
482,EP VORMSUND,482 EP VORMSUND,60.15059,11.40877,Akershus,true,NES,Østlandet,VORMSUND,2160
483,EP LAKSEVÅG,483 EP LAKSEVÅG,60.38951,5.28701,Vestland,true,BERGEN,Vestlandet,LAKSEVÅG,5163
480,EP RÆLINGEN,480 EP RÆLINGEN,59.94667,11.03122,Akershus,true,RÆLINGEN,Østlandet,RÆLINGEN,2005
432,EP GRASMYR,432 EP GRASMYR,59.03036,9.70408,Telemark,true,BAMBLE,Østlandet,STATHELLE,3960
479,EP GRAN,479 EP GRAN,60.35392,10.57601,Innlandet,true,GRAN,Østlandet,GRAN,2750
495,EP BREKSTAD,495 EP BREKSTAD,63.69235,9.66151,Trøndelag,true,ØRLAND,Trøndelag,BREKSTAD,7130
496,EP TASTA,496 EP TASTA,58.984,5.69108,Rogaland,true,STAVANGER,Vestlandet,STAVANGER,4027
500,EP KOKSTAD,500 EP KOKSTAD,60.29431,5.25325,Vestland,true,BERGEN,Vestlandet,KOKSTAD,5257
509,EP LANGEVÅG,509 EP LANGEVÅG,62.4381,6.23387,Møre og Romsdal,true,SULA,Vestlandet,LANGEVÅG,6030
